                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    766,                0.43539,                0.22365,                0.76845,                 0.9718,                0.95856,                0.98232,                0.80691,                0.79482,                0.37376,                0.85467,             3.8065e-05,             3.8065e-05,             3.8065e-05
                    767,                0.40378,                0.21527,                0.77238,                0.97102,                0.95822,                0.98227,                0.80714,                0.79583,                0.37411,                0.85453,             3.7182e-05,             3.7182e-05,             3.7182e-05
                    768,                0.41568,                0.21929,                0.77713,                0.97102,                0.95796,                0.98226,                0.80632,                0.79534,                0.37461,                0.85473,             3.6298e-05,             3.6298e-05,             3.6298e-05
                    769,                0.43062,                0.22266,                0.78427,                0.97161,                0.95827,                0.98227,                0.80682,                0.79502,                0.37571,                0.85497,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    770,                0.41471,                0.21732,                0.77164,                0.97026,                 0.9579,                0.98223,                 0.8069,                0.79537,                0.37628,                 0.8551,             3.4531e-05,             3.4531e-05,             3.4531e-05
                    771,                0.41118,                0.21622,                0.76935,                  0.972,                0.95827,                0.98287,                0.80682,                0.79584,                0.37547,                0.85528,             3.3647e-05,             3.3647e-05,             3.3647e-05
                    772,                0.37777,                 0.2055,                0.77192,                0.97325,                0.95594,                0.98234,                0.80646,                 0.7956,                0.37505,                 0.8552,             3.2764e-05,             3.2764e-05,             3.2764e-05
                    773,                0.41455,                0.21871,                0.77424,                0.97357,                 0.9575,                0.98282,                0.80652,                0.79575,                 0.3747,                0.85543,              3.188e-05,              3.188e-05,              3.188e-05
                    774,                0.40977,                 0.2185,                0.77329,                 0.9718,                0.95865,                0.98282,                0.80575,                0.79558,                0.37375,                0.85544,             3.0997e-05,             3.0997e-05,             3.0997e-05
                    775,                0.39771,                0.21507,                0.77389,                0.97181,                0.95913,                 0.9828,                0.80608,                0.79539,                0.37356,                0.85538,             3.0113e-05,             3.0113e-05,             3.0113e-05
                    776,                0.40563,                0.21554,                0.77107,                0.97126,                0.95981,                0.98273,                0.80594,                0.79427,                0.37452,                 0.8552,             2.9229e-05,             2.9229e-05,             2.9229e-05
                    777,                0.39231,                0.20787,                0.77007,                 0.9719,                0.96059,                0.98328,                0.80611,                0.79345,                0.37385,                0.85521,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    778,                0.42954,                0.22884,                0.77288,                0.97225,                0.96059,                0.98326,                0.80629,                0.79351,                0.37402,                0.85506,             2.7462e-05,             2.7462e-05,             2.7462e-05
                    779,                0.39299,                0.21136,                0.77066,                 0.9726,                0.96023,                0.98326,                0.80554,                0.79366,                0.37393,                0.85523,             2.6579e-05,             2.6579e-05,             2.6579e-05
                    780,                0.38769,                0.21306,                0.77206,                0.97259,                0.95985,                0.98327,                0.80609,                 0.7927,                0.37414,                0.85519,             2.5695e-05,             2.5695e-05,             2.5695e-05
                    781,                0.42735,                0.22443,                 0.7752,                0.97273,                0.95981,                0.98328,                0.80583,                0.79227,                0.37341,                0.85525,             2.4812e-05,             2.4812e-05,             2.4812e-05
                    782,                0.40598,                0.21258,                0.76927,                 0.9729,                0.95981,                0.98327,                 0.8059,                 0.7917,                0.37259,                0.85533,             2.3928e-05,             2.3928e-05,             2.3928e-05
                    783,                0.40692,                0.21591,                0.77145,                0.97273,                0.95981,                0.98328,                0.80659,                0.79044,                0.37251,                0.85517,             2.3044e-05,             2.3044e-05,             2.3044e-05
                    784,                0.38827,                0.21267,                0.77428,                0.97295,                0.95981,                0.98328,                0.80712,                0.79035,                0.37165,                0.85515,             2.2161e-05,             2.2161e-05,             2.2161e-05
                    785,                0.41449,                0.22291,                0.77104,                0.97304,                0.95981,                0.98329,                0.80714,                0.79027,                0.37257,                0.85516,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    786,                0.41604,                0.22136,                0.77282,                0.97267,                0.95981,                0.98331,                0.80672,                0.78963,                0.37207,                0.85505,             2.0394e-05,             2.0394e-05,             2.0394e-05
                    787,                 0.4062,                0.21618,                0.77789,                0.97344,                0.95981,                0.98333,                0.80672,                0.79013,                 0.3721,                0.85523,              1.951e-05,              1.951e-05,              1.951e-05
                    788,                0.43042,                0.22793,                0.77517,                0.97411,                0.95948,                0.98332,                0.80614,                0.79069,                0.37184,                0.85536,             1.8626e-05,             1.8626e-05,             1.8626e-05
                    789,                0.43951,                0.22821,                0.77975,                0.97312,                0.95827,                0.98277,                0.80615,                0.79076,                0.37208,                0.85544,             1.7743e-05,             1.7743e-05,             1.7743e-05
                    790,                0.40265,                0.21814,                0.77658,                0.97225,                0.95827,                 0.9828,                0.80687,                0.79046,                0.37267,                0.85521,             1.6859e-05,             1.6859e-05,             1.6859e-05
                    791,                0.42851,                0.23586,                0.78372,                0.97222,                0.96059,                0.98295,                0.80622,                0.79323,                0.37189,                0.85522,             1.5976e-05,             1.5976e-05,             1.5976e-05
                    792,                 0.3845,                0.21483,                0.77053,                0.97484,                0.95805,                0.98244,                0.80619,                0.79743,                0.37156,                0.85507,             1.5092e-05,             1.5092e-05,             1.5092e-05
                    793,                0.40781,                0.22585,                0.76947,                0.97408,                0.95824,                 0.9827,                0.80555,                0.79974,                 0.3698,                0.85504,             1.4209e-05,             1.4209e-05,             1.4209e-05
                    794,                0.38658,                0.21392,                0.77778,                0.97406,                 0.9576,                0.98286,                0.80457,                0.80299,                0.36998,                 0.8549,             1.3325e-05,             1.3325e-05,             1.3325e-05
                    795,                0.40609,                0.22083,                0.76998,                0.97482,                0.95737,                0.98246,                0.80404,                0.80539,                0.37179,                0.85506,             1.2441e-05,             1.2441e-05,             1.2441e-05
                    796,                0.37579,                0.21006,                0.77249,                0.97546,                0.95827,                0.98245,                0.80176,                0.80925,                0.37193,                 0.8554,             1.1558e-05,             1.1558e-05,             1.1558e-05
                    797,                0.38299,                0.21431,                0.76859,                0.97287,                0.95827,                  0.982,                0.79933,                0.81175,                0.37402,                0.85548,             1.0674e-05,             1.0674e-05,             1.0674e-05
                    798,                0.36292,                0.20379,                0.77246,                0.97076,                0.96059,                0.98191,                0.79902,                0.81365,                0.37415,                0.85563,             9.7907e-06,             9.7907e-06,             9.7907e-06
                    799,                0.37651,                0.20468,                0.77216,                0.97107,                0.95981,                0.98183,                0.79786,                0.81531,                0.37424,                0.85577,             8.9071e-06,             8.9071e-06,             8.9071e-06
                    800,                0.39392,                0.21556,                0.77331,                0.97184,                 0.9601,                0.98174,                0.79726,                0.81713,                0.37478,                0.85586,             8.0236e-06,             8.0236e-06,             8.0236e-06
