               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034039,             0.01285,                   0,             0.98258,             0.87975,             0.91257,             0.54354,            0.027496,            0.010855,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.034077,            0.011739,                   0,              0.9569,             0.88924,             0.91279,             0.54004,            0.025835,            0.011265,                   0,            0.086498,           0.0014981,           0.0014981
                   2,            0.030346,             0.01057,                   0,              0.9485,             0.90506,             0.92396,             0.54635,            0.025826,            0.011108,                   0,            0.079294,           0.0022943,           0.0022943
                   3,            0.032326,            0.010576,                   0,             0.93469,             0.89241,              0.8964,             0.51363,            0.027217,            0.011496,                   0,            0.072088,           0.0030885,           0.0030885
                   4,            0.032176,             0.01023,                   0,              0.9661,             0.90196,             0.92751,             0.54954,            0.026746,           0.0095507,                   0,            0.064881,           0.0038807,           0.0038807
                   5,            0.028373,            0.010138,                   0,             0.96038,             0.90506,             0.92705,             0.54091,             0.02617,            0.010346,                   0,            0.057671,           0.0046709,           0.0046709
                   6,            0.031505,           0.0095753,                   0,             0.94635,             0.89306,             0.90688,             0.47512,            0.029409,           0.0095814,                   0,            0.050459,           0.0054592,           0.0054592
                   7,            0.034021,           0.0094065,                   0,             0.96969,             0.91132,             0.93285,              0.5599,            0.026695,           0.0082662,                   0,            0.043245,           0.0062454,           0.0062454
                   8,            0.030667,           0.0096329,                   0,             0.96864,             0.92089,             0.94889,             0.55205,            0.026791,           0.0082846,                   0,             0.03603,           0.0070297,           0.0070297
                   9,            0.032737,           0.0090913,                   0,             0.95454,             0.92722,             0.95057,             0.57273,            0.026594,           0.0080982,                   0,            0.028812,            0.007812,            0.007812
                  10,            0.029788,           0.0094669,                   0,             0.96473,             0.91772,             0.95298,             0.55418,            0.026851,           0.0082112,                   0,            0.021592,           0.0085923,           0.0085923
                  11,            0.032302,           0.0088022,                   0,              0.9521,             0.92405,             0.94855,             0.53466,             0.02904,           0.0085821,                   0,            0.014371,           0.0093707,           0.0093707
                  12,            0.035506,           0.0097863,                   0,             0.95113,             0.92383,             0.93273,             0.57988,            0.029663,           0.0086226,                   0,           0.0098515,           0.0098515,           0.0098515
                  13,            0.032891,           0.0089146,                   0,             0.95701,              0.9158,             0.92825,             0.56068,            0.029706,           0.0087453,                   0,           0.0098515,           0.0098515,           0.0098515
                  14,            0.032628,           0.0091976,                   0,              0.9566,             0.90506,             0.92729,             0.53299,            0.030556,           0.0094023,                   0,           0.0098391,           0.0098391,           0.0098391
                  15,            0.030988,           0.0094423,                   0,             0.96351,             0.91908,             0.94449,             0.54821,            0.029885,            0.009067,                   0,           0.0098268,           0.0098268,           0.0098268
                  16,            0.035362,           0.0096664,                   0,             0.95336,              0.9057,              0.9396,             0.53739,            0.030996,           0.0092999,                   0,           0.0098144,           0.0098144,           0.0098144
                  17,            0.037023,           0.0093169,                   0,             0.94763,             0.91628,             0.93651,             0.54198,             0.03049,           0.0096098,                   0,            0.009802,            0.009802,            0.009802
                  18,            0.031512,           0.0096762,                   0,             0.94994,             0.90078,             0.92339,             0.46624,            0.033746,           0.0094209,                   0,           0.0097896,           0.0097896,           0.0097896
                  19,            0.031955,           0.0090795,                   0,             0.95944,             0.89838,             0.93345,             0.52806,            0.031773,           0.0092061,                   0,           0.0097773,           0.0097773,           0.0097773
                  20,            0.032153,            0.008739,                   0,             0.96276,             0.89557,             0.92731,             0.52412,            0.030428,           0.0092753,                   0,           0.0097649,           0.0097649,           0.0097649
                  21,            0.035273,           0.0089005,                   0,             0.95969,             0.90399,             0.93148,             0.49051,            0.032248,           0.0091515,                   0,           0.0097525,           0.0097525,           0.0097525
                  22,            0.031976,           0.0094771,                   0,             0.96879,             0.92089,             0.94509,             0.54141,            0.030508,           0.0085789,                   0,           0.0097401,           0.0097401,           0.0097401
                  23,            0.034418,           0.0091209,                   0,             0.95983,             0.90731,             0.93151,             0.55803,            0.030877,           0.0087215,                   0,           0.0097278,           0.0097278,           0.0097278
                  24,            0.035503,            0.009869,                   0,             0.96967,             0.91067,              0.9368,              0.5444,            0.030319,           0.0086184,                   0,           0.0097154,           0.0097154,           0.0097154
                  25,            0.036106,            0.009806,                   0,              0.9653,             0.92405,              0.9294,             0.55712,            0.029597,           0.0086225,                   0,            0.009703,            0.009703,            0.009703
                  26,             0.03545,            0.009067,                   0,             0.96923,             0.92405,             0.95123,             0.54369,            0.030693,           0.0087608,                   0,           0.0096906,           0.0096906,           0.0096906
                  27,            0.032661,           0.0091389,                   0,             0.95439,             0.93987,             0.94711,             0.53273,            0.029879,           0.0085666,                   0,           0.0096783,           0.0096783,           0.0096783
                  28,            0.034413,           0.0093927,                   0,             0.94165,             0.91772,             0.94852,             0.54665,            0.030492,           0.0094383,                   0,           0.0096659,           0.0096659,           0.0096659
                  29,             0.03518,           0.0091187,                   0,             0.91708,              0.9019,             0.94241,             0.52724,            0.030362,            0.011587,                   0,           0.0096535,           0.0096535,           0.0096535
                  30,            0.031416,           0.0087066,                   0,             0.93072,             0.87658,             0.91011,             0.48863,            0.040022,            0.011177,                   0,           0.0096411,           0.0096411,           0.0096411
                  31,             0.03546,           0.0096836,                   0,             0.97322,             0.91994,             0.94814,             0.54982,             0.03057,            0.008718,                   0,           0.0096288,           0.0096288,           0.0096288
                  32,            0.032281,           0.0087983,                   0,             0.96051,             0.92365,             0.93142,             0.54366,            0.031124,           0.0085737,                   0,           0.0096164,           0.0096164,           0.0096164
                  33,            0.030623,           0.0089062,                   0,             0.95219,             0.91772,             0.92907,             0.50995,            0.032098,            0.009037,                   0,            0.009604,            0.009604,            0.009604
                  34,            0.034329,           0.0093177,                   0,             0.97575,             0.93038,             0.95314,             0.55018,            0.029838,           0.0085928,                   0,           0.0095916,           0.0095916,           0.0095916
                  35,            0.031306,           0.0088665,                   0,             0.96612,             0.91456,             0.93531,             0.54713,            0.029477,           0.0088564,                   0,           0.0095793,           0.0095793,           0.0095793
                  36,             0.03059,           0.0089841,                   0,             0.96694,             0.91772,             0.93699,             0.54803,             0.02953,            0.008722,                   0,           0.0095669,           0.0095669,           0.0095669
                  37,            0.036659,           0.0098421,                   0,              0.9634,             0.90506,             0.93686,             0.54952,            0.031116,           0.0087246,                   0,           0.0095545,           0.0095545,           0.0095545
                  38,            0.035726,            0.008773,                   0,             0.96943,             0.92089,             0.95602,             0.56498,            0.031392,           0.0084971,                   0,           0.0095421,           0.0095421,           0.0095421
                  39,            0.032376,           0.0090802,                   0,             0.97176,             0.92089,             0.95066,             0.54821,            0.030475,           0.0085392,                   0,           0.0095298,           0.0095298,           0.0095298
                  40,            0.034501,           0.0089356,                   0,             0.97362,             0.93419,             0.96186,              0.5483,            0.030791,           0.0085799,                   0,           0.0095174,           0.0095174,           0.0095174
                  41,            0.032624,           0.0090723,                   0,             0.95516,              0.9462,             0.94413,             0.54521,            0.030234,           0.0086106,                   0,            0.009505,            0.009505,            0.009505
                  42,            0.030911,           0.0087358,                   0,             0.97323,             0.92033,              0.9397,             0.51931,            0.030982,           0.0092305,                   0,           0.0094926,           0.0094926,           0.0094926
                  43,             0.03215,           0.0085342,                   0,             0.97584,             0.92405,             0.94899,             0.52898,            0.031703,           0.0092766,                   0,           0.0094803,           0.0094803,           0.0094803
                  44,            0.029873,           0.0086885,                   0,             0.98309,             0.91985,             0.93816,             0.53068,            0.031055,           0.0095699,                   0,           0.0094679,           0.0094679,           0.0094679
