               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055256,            0.018469,                   0,             0.89793,             0.65652,             0.69891,             0.23275,            0.057105,            0.015046,                   0,              0.0982,              0.0002,              0.0002
                   1,            0.039084,            0.019969,                   0,               0.911,             0.68751,             0.71035,             0.23371,            0.056688,            0.014391,                   0,            0.095499,          0.00049938,          0.00049938
                   2,            0.045787,             0.01901,                   0,             0.88875,             0.73134,              0.7273,             0.25541,            0.055481,            0.013605,                   0,            0.092798,          0.00079802,          0.00079802
                   3,            0.041338,            0.014993,                   0,             0.88696,             0.71642,             0.72238,             0.25974,            0.058406,            0.013715,                   0,            0.090096,           0.0010959,           0.0010959
                   4,            0.045634,            0.015116,                   0,             0.69806,             0.75373,             0.72941,             0.26359,            0.059495,            0.015159,                   0,            0.087393,           0.0013931,           0.0013931
                   5,            0.041311,            0.015139,                   0,             0.71847,             0.78358,             0.77225,             0.27935,            0.048528,            0.015147,                   0,            0.084689,           0.0016895,           0.0016895
                   6,            0.045747,            0.013463,                   0,             0.81474,             0.78358,             0.76982,             0.28642,            0.053485,            0.013159,                   0,            0.081985,           0.0019852,           0.0019852
                   7,            0.045832,            0.011476,                   0,             0.87507,             0.79104,             0.77817,             0.29215,            0.050893,            0.011593,                   0,             0.07928,           0.0022801,           0.0022801
                   8,            0.045348,            0.011505,                   0,             0.87176,              0.8117,             0.79854,             0.29392,            0.051339,            0.010575,                   0,            0.076574,           0.0025743,           0.0025743
                   9,            0.028862,            0.011236,                   0,             0.88045,             0.82439,             0.79144,             0.29713,            0.052166,            0.010241,                   0,            0.073868,           0.0028677,           0.0028677
                  10,            0.040816,            0.011824,                   0,             0.87711,             0.82836,             0.80453,             0.30027,            0.045429,            0.010309,                   0,             0.07116,           0.0031604,           0.0031604
