                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    732,                0.48626,                0.24553,                0.78623,                0.97944,                0.95699,                0.97959,                0.76594,                0.89442,                0.38788,                0.85837,              0.0054769,              0.0054769,              0.0054769
                    733,                0.48305,                0.25023,                0.78211,                0.98358,                0.95595,                0.98003,                0.76504,                0.89514,                0.38608,                0.85793,              0.0054707,              0.0054707,              0.0054707
                    734,                0.47341,                0.24916,                0.77974,                0.99033,                0.94924,                0.98077,                0.76627,                0.89322,                0.38577,                 0.8578,              0.0054646,              0.0054646,              0.0054646
                    735,                0.48194,                0.24652,                0.77873,                 0.9827,                0.95209,                0.97881,                0.76486,                0.89437,                0.38764,                0.85738,              0.0054584,              0.0054584,              0.0054584
                    736,                 0.4789,                0.24343,                0.78068,                0.98325,                0.95249,                 0.9796,                0.76522,                0.89264,                0.38556,                0.85711,              0.0054522,              0.0054522,              0.0054522
                    737,                 0.4639,                0.24402,                 0.7831,                0.98405,                0.95357,                0.97981,                0.76415,                0.89347,                0.38572,                0.85787,               0.005446,               0.005446,               0.005446
                    738,                0.49171,                0.25597,                 0.7844,                0.98391,                 0.9544,                0.97986,                0.76268,                0.89492,                0.38557,                0.85794,              0.0054398,              0.0054398,              0.0054398
                    739,                0.48379,                0.24649,                0.77982,                0.98505,                0.95286,                0.98027,                0.76682,                0.89442,                0.38793,                0.85745,              0.0054336,              0.0054336,              0.0054336
                    740,                0.47847,                0.24537,                0.78262,                 0.9846,                 0.9544,                0.98058,                0.76814,                0.89287,                0.38783,                0.85717,              0.0054274,              0.0054274,              0.0054274
                    741,                0.48779,                0.25247,                 0.7811,                0.98796,                0.95142,                0.98074,                0.76869,                0.89199,                0.38645,                0.85654,              0.0054212,              0.0054212,              0.0054212
                    742,                0.48429,                 0.2466,                0.77866,                0.98718,                0.95191,                0.98071,                0.76874,                0.89274,                0.38573,                0.85722,              0.0054151,              0.0054151,              0.0054151
                    743,                0.48991,                0.24298,                0.78246,                0.98558,                0.95088,                0.98068,                0.76908,                 0.8921,                0.38619,                0.85763,              0.0054089,              0.0054089,              0.0054089
                    744,                0.48104,                0.24775,                0.78133,                0.98599,                0.95054,                0.98075,                0.76783,                0.89385,                0.38965,                 0.8582,              0.0054027,              0.0054027,              0.0054027
                    745,                0.47892,                0.24266,                0.78042,                0.97366,                0.96291,                0.98051,                0.76501,                0.89182,                0.38675,                0.85836,              0.0053965,              0.0053965,              0.0053965
                    746,                0.48782,                0.25087,                0.77997,                0.97269,                0.96353,                0.97969,                0.76481,                0.89325,                0.38603,                 0.8587,              0.0053903,              0.0053903,              0.0053903
                    747,                0.48562,                0.24845,                0.78247,                0.97201,                0.96059,                0.97855,                0.76479,                0.89347,                0.38519,                0.85877,              0.0053841,              0.0053841,              0.0053841
                    748,                0.46324,                0.24031,                0.77982,                 0.9719,                0.96208,                0.97907,                0.76474,                 0.8944,                0.38699,                0.85937,              0.0053779,              0.0053779,              0.0053779
                    749,                0.47763,                0.24422,                0.78174,                0.97635,                0.95595,                0.97855,                0.76661,                0.89423,                0.38782,                0.85971,              0.0053717,              0.0053717,              0.0053717
                    750,                0.47926,                 0.2465,                0.78393,                0.97235,                0.95904,                0.97836,                0.76652,                0.89193,                0.38731,                0.85908,              0.0053656,              0.0053656,              0.0053656
                    751,                0.48974,                0.24593,                0.78585,                0.97306,                0.95981,                0.97876,                0.76747,                0.88971,                0.38694,                  0.859,              0.0053594,              0.0053594,              0.0053594
                    752,                0.46992,                0.24048,                0.78052,                0.97727,                 0.9544,                0.97794,                0.76766,                 0.8878,                0.38594,                0.85813,              0.0053532,              0.0053532,              0.0053532
                    753,                0.47005,                0.24434,                0.78578,                0.97943,                0.95673,                0.97892,                0.76962,                0.88522,                0.38658,                0.85776,               0.005347,               0.005347,               0.005347
                    754,                0.47956,                0.24643,                 0.7867,                 0.9821,                0.95131,                0.97994,                0.76991,                0.88533,                0.38757,                0.85778,              0.0053408,              0.0053408,              0.0053408
                    755,                0.48415,                0.24308,                 0.7803,                0.98322,                0.95079,                0.98092,                0.77025,                0.88548,                0.38686,                0.85797,              0.0053346,              0.0053346,              0.0053346
                    756,                0.47289,                0.24159,                0.78846,                0.98585,                0.94977,                0.97942,                0.77035,                0.88329,                0.38612,                0.85804,              0.0053284,              0.0053284,              0.0053284
                    757,                0.47164,                0.24465,                0.78712,                0.98726,                0.94822,                0.97964,                0.76859,                0.88477,                0.38694,                0.85799,              0.0053223,              0.0053223,              0.0053223
                    758,                0.46362,                0.23593,                0.77772,                0.98874,                0.94975,                0.98005,                0.76936,                0.88482,                0.38519,                0.85788,              0.0053161,              0.0053161,              0.0053161
                    759,                0.46278,                0.23711,                0.77589,                0.97788,                0.95981,                0.98054,                0.76901,                0.88476,                0.38505,                0.85744,              0.0053099,              0.0053099,              0.0053099
                    760,                0.48456,                0.24969,                0.78332,                0.97793,                0.95875,                 0.9803,                 0.7716,                0.88386,                0.38571,                0.85794,              0.0053037,              0.0053037,              0.0053037
                    761,                0.48174,                0.24734,                0.78551,                0.98177,                 0.9573,                0.98085,                0.77065,                0.88406,                0.38536,                0.85789,              0.0052975,              0.0052975,              0.0052975
                    762,                0.47863,                0.23974,                 0.7788,                0.98227,                0.95672,                0.98055,                0.76992,                0.88649,                0.38654,                0.85777,              0.0052913,              0.0052913,              0.0052913
                    763,                0.46854,                0.24232,                0.78009,                 0.9833,                0.95672,                0.98054,                0.77059,                0.88893,                0.38647,                0.85807,              0.0052851,              0.0052851,              0.0052851
                    764,                0.46952,                0.23656,                0.77611,                0.97875,                0.96127,                0.98044,                0.76974,                0.88847,                0.38516,                0.85791,              0.0052789,              0.0052789,              0.0052789
                    765,                0.46709,                0.23987,                0.77873,                 0.9795,                0.95983,                0.98093,                0.77122,                0.88724,                 0.3846,                0.85798,              0.0052727,              0.0052727,              0.0052727
                    766,                 0.4819,                0.23758,                0.78022,                0.98027,                0.96013,                0.98088,                0.76982,                0.88617,                0.37956,                0.85771,              0.0052666,              0.0052666,              0.0052666
                    767,                0.47907,                0.23978,                0.77627,                0.97833,                0.95981,                0.98062,                0.77032,                0.88675,                0.37885,                0.85807,              0.0052604,              0.0052604,              0.0052604
                    768,                0.47609,                0.23705,                  0.786,                0.97894,                0.96213,                0.98155,                0.76817,                0.88873,                0.37878,                0.85858,              0.0052542,              0.0052542,              0.0052542
                    769,                0.48069,                0.24845,                0.78355,                0.97946,                0.95833,                0.98098,                0.76741,                0.89047,                0.37919,                0.85928,               0.005248,               0.005248,               0.005248
                    770,                0.46267,                0.23844,                0.77613,                0.97871,                0.96213,                0.98212,                0.76832,                 0.8919,                0.37737,                0.85942,              0.0052418,              0.0052418,              0.0052418
                    771,                0.46391,                0.24138,                0.78345,                0.97879,                0.96269,                0.98227,                 0.7696,                0.89228,                0.37801,                0.85992,              0.0052356,              0.0052356,              0.0052356
                    772,                0.45575,                0.23192,                0.77435,                  0.978,                 0.9621,                0.98208,                0.77109,                0.89285,                0.37852,                0.86019,              0.0052294,              0.0052294,              0.0052294
                    773,                0.46745,                0.23938,                0.77718,                0.97953,                0.96291,                 0.9819,                0.77278,                0.89141,                0.37862,                0.86032,              0.0052233,              0.0052233,              0.0052233
                    774,                0.45175,                0.23605,                0.77403,                0.98167,                0.96291,                0.98341,                0.77243,                0.88983,                0.37879,                0.86036,              0.0052171,              0.0052171,              0.0052171
                    775,                0.46848,                0.24062,                0.77973,                0.98263,                0.96154,                0.98295,                0.77329,                0.88968,                0.37893,                0.86012,              0.0052109,              0.0052109,              0.0052109
                    776,                 0.4731,                0.23715,                0.78325,                0.98185,                0.96156,                0.98289,                0.77242,                0.88737,                0.38122,                0.85975,              0.0052047,              0.0052047,              0.0052047
                    777,                0.45786,                0.23253,                0.77355,                0.97752,                0.96522,                0.98205,                0.77173,                0.88507,                0.38074,                 0.8594,              0.0051985,              0.0051985,              0.0051985
                    778,                0.47086,                0.23658,                0.78601,                0.97916,                0.96522,                0.98182,                0.77053,                 0.8821,                0.37927,                0.85915,              0.0051923,              0.0051923,              0.0051923
                    779,                0.46694,                0.23643,                0.77253,                0.97921,                0.96522,                0.98178,                0.77092,                0.88157,                0.37919,                0.85949,              0.0051861,              0.0051861,              0.0051861
                    780,                0.47609,                0.24011,                0.78386,                0.97762,                0.96291,                0.98144,                0.77256,                0.87881,                0.37912,                0.85889,              0.0051799,              0.0051799,              0.0051799
                    781,                0.45765,                0.23292,                0.78022,                0.97798,                0.96291,                0.98156,                0.77274,                0.87927,                0.38068,                0.85964,              0.0051737,              0.0051737,              0.0051737
                    782,                0.47425,                0.24156,                0.77756,                0.97685,                0.96213,                0.98144,                0.77297,                0.88073,                 0.3839,                0.86024,              0.0051676,              0.0051676,              0.0051676
                    783,                0.47634,                0.24129,                0.78627,                0.98098,                0.95643,                0.98113,                0.77578,                0.88139,                 0.3833,                0.85982,              0.0051614,              0.0051614,              0.0051614
                    784,                0.45554,                0.23552,                 0.7765,                0.98183,                0.96048,                0.98334,                0.77537,                0.87971,                0.38355,                0.85976,              0.0051552,              0.0051552,              0.0051552
                    785,                  0.471,                0.24019,                0.77938,                0.97956,                0.96277,                0.98356,                 0.7766,                0.87816,                0.38335,                0.85972,               0.005149,               0.005149,               0.005149
                    786,                0.46928,                0.24453,                0.78095,                0.98649,                0.95672,                0.98205,                0.77445,                0.87783,                0.38088,                0.85987,              0.0051428,              0.0051428,              0.0051428
                    787,                0.46923,                0.23437,                0.78176,                0.98666,                0.95672,                0.98222,                0.77444,                0.87729,                0.38132,                0.85986,              0.0051366,              0.0051366,              0.0051366
                    788,                0.46847,                0.23785,                0.77948,                0.98679,                0.95595,                0.98234,                0.77455,                 0.8747,                0.38179,                0.85916,              0.0051304,              0.0051304,              0.0051304
                    789,                0.49149,                0.25209,                0.78037,                 0.9859,                0.95672,                0.98231,                0.77344,                0.87706,                0.38091,                 0.8594,              0.0051243,              0.0051243,              0.0051243
                    790,                0.48192,                0.24169,                0.78531,                0.98412,                0.95802,                0.98186,                0.77312,                0.87912,                0.38051,                0.85961,              0.0051181,              0.0051181,              0.0051181
                    791,                0.46784,                0.24117,                0.78208,                0.98399,                0.95827,                0.98148,                0.77426,                0.87949,                0.38097,                0.85973,              0.0051119,              0.0051119,              0.0051119
                    792,                0.46278,                0.23743,                0.77934,                0.98491,                0.95815,                0.98148,                0.77423,                0.87792,                0.38256,                0.85909,              0.0051057,              0.0051057,              0.0051057
                    793,                0.45452,                0.23493,                0.77785,                0.98493,                0.95933,                0.98354,                0.77335,                0.87963,                0.38313,                0.85916,              0.0050995,              0.0050995,              0.0050995
                    794,                0.46166,                0.23918,                 0.7909,                0.98301,                0.96059,                0.98328,                0.77402,                0.88413,                  0.384,                0.85927,              0.0050933,              0.0050933,              0.0050933
                    795,                0.45105,                0.23343,                0.77912,                0.98452,                0.95827,                0.98215,                0.77367,                0.88343,                0.38305,                0.85935,              0.0050871,              0.0050871,              0.0050871
                    796,                0.48361,                0.24301,                0.78373,                0.98491,                0.95858,                0.98202,                0.77365,                0.88318,                0.38253,                0.85937,              0.0050809,              0.0050809,              0.0050809
                    797,                0.45147,                0.23005,                0.77957,                0.98413,                 0.9583,                0.98226,                0.77213,                0.88594,                0.38088,                0.85988,              0.0050747,              0.0050747,              0.0050747
                    798,                0.46652,                0.23597,                0.77454,                0.98724,                0.95669,                0.98101,                0.77225,                0.88423,                0.38165,                0.86002,              0.0050686,              0.0050686,              0.0050686
                    799,                0.47811,                0.24443,                 0.7808,                0.98804,                0.95747,                0.98202,                0.77311,                0.88588,                 0.3817,                0.86035,              0.0050624,              0.0050624,              0.0050624
                    800,                0.47711,                0.24487,                0.78497,                0.98752,                0.95672,                0.98201,                0.77327,                0.88642,                0.38177,                0.86025,              0.0050562,              0.0050562,              0.0050562
                    801,                0.46024,                0.23562,                0.78368,                0.98546,                0.95518,                0.98143,                0.77268,                0.88631,                0.38303,                0.86067,                0.00505,                0.00505,                0.00505
                    802,                0.44832,                0.23214,                 0.7726,                0.98333,                 0.9544,                0.97951,                0.77323,                0.88532,                0.38389,                0.86082,              0.0050438,              0.0050438,              0.0050438
                    803,                0.47173,                0.23893,                0.77475,                0.98377,                0.95518,                0.97976,                 0.7712,                0.88574,                0.38458,                0.86122,              0.0050376,              0.0050376,              0.0050376
                    804,                0.45482,                0.23791,                  0.782,                0.98409,                0.95578,                0.97922,                0.77149,                0.88535,                0.38569,                0.86062,              0.0050314,              0.0050314,              0.0050314
                    805,                0.44632,                0.23543,                0.77689,                 0.9836,                0.95672,                0.97992,                0.77289,                0.88329,                0.38378,                0.86108,              0.0050253,              0.0050253,              0.0050253
                    806,                0.45114,                0.24027,                0.77686,                0.98368,                0.95672,                0.98005,                0.77287,                0.88208,                 0.3826,                0.86144,              0.0050191,              0.0050191,              0.0050191
                    807,                0.46178,                0.23437,                  0.776,                0.98487,                0.95572,                0.97989,                0.77243,                0.87934,                0.38152,                0.86119,              0.0050129,              0.0050129,              0.0050129
                    808,                0.47737,                0.24226,                0.78015,                 0.9841,                0.95655,                0.98019,                0.77237,                0.88011,                0.38165,                0.86144,              0.0050067,              0.0050067,              0.0050067
                    809,                0.46202,                0.23585,                0.76824,                0.98489,                0.95704,                 0.9816,                 0.7733,                0.88001,                0.38182,                0.86134,              0.0050005,              0.0050005,              0.0050005
                    810,                0.46754,                0.24122,                 0.7827,                0.98487,                0.95672,                0.98144,                0.77459,                0.87933,                0.38386,                0.86098,              0.0049943,              0.0049943,              0.0049943
                    811,                0.47086,                0.24024,                0.77732,                0.97928,                0.96368,                0.98168,                0.77529,                0.87777,                0.38586,                0.86026,              0.0049881,              0.0049881,              0.0049881
