               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.017048,           0.0066751,                   0,             0.95374,             0.95159,              0.9581,             0.53624,            0.049524,             0.01149,                   0,              0.0964,              0.0004,              0.0004
                   1,            0.031992,           0.0076023,                   0,             0.96147,             0.95969,             0.96575,             0.54723,            0.037055,            0.011277,                   0,            0.091899,          0.00089889,          0.00089889
                   2,            0.029676,            0.007435,                   0,             0.97176,             0.97059,             0.97607,             0.58755,            0.031889,            0.010926,                   0,            0.087397,           0.0013965,           0.0013965
                   3,            0.028147,           0.0074111,                   0,             0.96421,             0.96719,             0.97032,             0.58468,             0.03634,            0.010739,                   0,            0.082893,           0.0018929,           0.0018929
                   4,             0.03102,           0.0079776,                   0,             0.97789,             0.96412,             0.97737,              0.5892,            0.046533,            0.010503,                   0,            0.078388,           0.0023881,           0.0023881
                   5,            0.032026,           0.0074907,                   0,             0.96653,             0.97051,             0.97484,             0.56786,            0.036018,            0.010615,                   0,            0.073882,           0.0028821,           0.0028821
                   6,            0.025091,           0.0076815,                   0,             0.97162,             0.96571,             0.97237,             0.58673,            0.035121,            0.010416,                   0,            0.069375,           0.0033748,           0.0033748
                   7,             0.02675,             0.00746,                   0,             0.97397,             0.95769,             0.97446,             0.59261,            0.038648,            0.010274,                   0,            0.064866,           0.0038662,           0.0038662
                   8,            0.026839,           0.0083528,                   0,             0.97645,             0.96282,             0.97492,             0.59913,            0.037403,            0.010015,                   0,            0.060356,           0.0043564,           0.0043564
                   9,            0.027425,           0.0082192,                   0,             0.97296,             0.96026,             0.97413,             0.58556,            0.034113,            0.010156,                   0,            0.055845,           0.0048454,           0.0048454
                  10,            0.025825,           0.0081673,                   0,             0.97175,             0.97029,             0.97607,             0.60589,            0.034652,           0.0098069,                   0,            0.051333,           0.0053332,           0.0053332
                  11,            0.024326,           0.0082453,                   0,             0.97415,             0.96622,             0.97546,             0.59479,            0.031665,            0.010086,                   0,             0.04682,           0.0058197,           0.0058197
                  12,            0.026605,           0.0077824,                   0,             0.96908,             0.96667,             0.97574,             0.59962,             0.02992,            0.010073,                   0,            0.042305,            0.006305,            0.006305
                  13,            0.028351,           0.0081182,                   0,             0.97916,             0.96366,             0.97955,             0.59915,            0.031988,           0.0099663,                   0,            0.037789,            0.006789,            0.006789
                  14,            0.026286,           0.0081459,                   0,              0.9661,             0.95256,             0.96514,             0.54618,            0.036994,            0.010588,                   0,            0.033272,           0.0072718,           0.0072718
