               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046343,            0.012095,                   0,             0.94391,             0.90689,             0.94782,             0.44377,            0.039132,            0.011635,                   0,           0.0095421,           0.0095421,           0.0095421
                  39,             0.05188,            0.012388,                   0,             0.85942,             0.86025,             0.86215,              0.3688,             0.04346,            0.011621,                   0,           0.0095298,           0.0095298,           0.0095298
                  40,            0.052799,            0.012913,                   0,             0.87606,             0.90719,             0.90286,             0.43062,            0.041749,            0.011324,                   0,           0.0095174,           0.0095174,           0.0095174
                  41,            0.053992,            0.011864,                   0,              0.9202,             0.95509,             0.96303,             0.46101,             0.03779,            0.011058,                   0,            0.009505,            0.009505,            0.009505
                  42,            0.045569,            0.012146,                   0,             0.93091,              0.9521,             0.96081,             0.47478,            0.035624,            0.011208,                   0,           0.0094926,           0.0094926,           0.0094926
                  43,            0.050236,            0.013766,                   0,             0.93839,             0.95772,             0.95985,             0.43208,            0.039854,            0.011064,                   0,           0.0094803,           0.0094803,           0.0094803
                  44,            0.052145,            0.012188,                   0,             0.92597,             0.93626,               0.938,             0.44505,            0.040044,            0.011204,                   0,           0.0094679,           0.0094679,           0.0094679
                  45,            0.048364,            0.011834,                   0,             0.96441,              0.9521,             0.97619,             0.46528,            0.038138,            0.011363,                   0,           0.0094555,           0.0094555,           0.0094555
                  46,            0.046745,            0.012353,                   0,             0.95585,             0.96108,             0.96662,             0.48826,            0.034871,            0.011334,                   0,           0.0094431,           0.0094431,           0.0094431
                  47,            0.046263,            0.012437,                   0,              0.9556,             0.96668,             0.97893,             0.47693,            0.034199,            0.011232,                   0,           0.0094307,           0.0094307,           0.0094307
                  48,            0.042558,            0.012125,                   0,             0.97163,             0.97006,             0.98543,             0.49438,            0.034861,            0.011023,                   0,           0.0094184,           0.0094184,           0.0094184
                  49,            0.050206,            0.011225,                   0,             0.94318,              0.9443,             0.95495,             0.50186,            0.034764,            0.010996,                   0,            0.009406,            0.009406,            0.009406
                  50,            0.044522,            0.012462,                   0,             0.96719,             0.97085,             0.98084,             0.48518,             0.03489,             0.01083,                   0,           0.0093936,           0.0093936,           0.0093936
                  51,            0.047181,            0.011123,                   0,             0.96131,             0.95509,             0.96974,             0.50184,            0.033137,            0.011076,                   0,           0.0093813,           0.0093813,           0.0093813
                  52,            0.045771,            0.011955,                   0,             0.96467,             0.96707,             0.98184,             0.46805,            0.035841,            0.011073,                   0,           0.0093689,           0.0093689,           0.0093689
                  53,            0.043507,            0.011486,                   0,             0.95492,              0.9521,             0.96323,             0.49461,            0.033362,            0.010689,                   0,           0.0093565,           0.0093565,           0.0093565
                  54,            0.043317,            0.010955,                   0,             0.94905,             0.94805,             0.96602,             0.34365,            0.040827,            0.010967,                   0,           0.0093441,           0.0093441,           0.0093441
                  55,            0.046796,            0.011128,                   0,             0.93918,             0.97085,              0.9805,             0.46951,             0.03735,             0.01087,                   0,           0.0093317,           0.0093317,           0.0093317
                  56,            0.044253,            0.011688,                   0,             0.96391,             0.95955,             0.97711,             0.49202,            0.035055,            0.010771,                   0,           0.0093194,           0.0093194,           0.0093194
                  57,            0.042911,            0.011586,                   0,             0.95702,             0.94611,             0.97506,             0.46911,             0.03474,            0.010892,                   0,            0.009307,            0.009307,            0.009307
                  58,            0.042396,            0.011961,                   0,             0.96008,              0.9491,             0.97427,             0.48287,            0.033881,            0.010849,                   0,           0.0092946,           0.0092946,           0.0092946
                  59,            0.046616,            0.011834,                   0,             0.95977,             0.96108,             0.97071,             0.49457,            0.034911,            0.010549,                   0,           0.0092823,           0.0092823,           0.0092823
                  60,            0.043181,            0.010951,                   0,             0.96271,             0.96108,             0.96944,             0.49918,            0.033102,            0.010562,                   0,           0.0092699,           0.0092699,           0.0092699
                  61,            0.041444,             0.01168,                   0,             0.96138,             0.96879,             0.97885,             0.48844,            0.034348,            0.010553,                   0,           0.0092575,           0.0092575,           0.0092575
                  62,            0.044051,            0.011239,                   0,             0.96181,             0.97006,             0.97467,             0.48073,            0.034963,             0.01055,                   0,           0.0092451,           0.0092451,           0.0092451
                  63,              0.0437,            0.012172,                   0,             0.96174,             0.94311,             0.97588,             0.48735,            0.035464,            0.011174,                   0,           0.0092327,           0.0092327,           0.0092327
                  64,            0.037958,             0.01056,                   0,             0.97188,             0.93119,             0.96989,             0.49661,            0.036489,            0.011402,                   0,           0.0092204,           0.0092204,           0.0092204
                  65,            0.044938,            0.010527,                   0,             0.96608,             0.93806,              0.9711,             0.51413,            0.036863,            0.010957,                   0,            0.009208,            0.009208,            0.009208
                  66,            0.045331,            0.011969,                   0,             0.94912,             0.94938,             0.96927,             0.51388,            0.033867,            0.011326,                   0,           0.0091956,           0.0091956,           0.0091956
                  67,             0.04058,            0.011753,                   0,             0.96846,              0.9521,              0.9789,             0.51985,            0.033847,            0.010597,                   0,           0.0091833,           0.0091833,           0.0091833
                  68,            0.040371,            0.011711,                   0,             0.96957,             0.95381,             0.97445,              0.5343,            0.032405,            0.010481,                   0,           0.0091709,           0.0091709,           0.0091709
                  69,            0.040405,            0.010698,                   0,             0.95165,             0.94291,             0.95433,             0.47371,             0.03343,            0.010638,                   0,           0.0091585,           0.0091585,           0.0091585
                  70,            0.043982,            0.011394,                   0,             0.97407,             0.96407,             0.98346,             0.53095,            0.032989,            0.010137,                   0,           0.0091461,           0.0091461,           0.0091461
                  71,            0.042168,            0.011062,                   0,              0.9747,             0.96707,             0.98682,             0.52678,            0.032228,            0.010195,                   0,           0.0091337,           0.0091337,           0.0091337
                  72,            0.043155,            0.011873,                   0,               0.958,             0.95509,             0.97205,             0.51817,            0.031611,            0.010339,                   0,           0.0091214,           0.0091214,           0.0091214
                  73,            0.038396,            0.011279,                   0,             0.96125,             0.96543,             0.98646,             0.51715,            0.032589,            0.010485,                   0,            0.009109,            0.009109,            0.009109
                  74,            0.038047,            0.011407,                   0,             0.95274,             0.96581,             0.97367,              0.5292,            0.031873,            0.010384,                   0,           0.0090966,           0.0090966,           0.0090966
                  75,            0.037303,            0.010842,                   0,             0.95549,             0.96397,             0.97169,             0.45963,             0.03517,            0.010474,                   0,           0.0090843,           0.0090843,           0.0090843
                  76,            0.040298,             0.01127,                   0,             0.94911,             0.94935,             0.96287,             0.50627,            0.032578,            0.010527,                   0,           0.0090719,           0.0090719,           0.0090719
                  77,            0.044217,            0.010809,                   0,             0.96263,             0.95509,              0.9719,             0.49428,            0.031972,            0.010649,                   0,           0.0090595,           0.0090595,           0.0090595
