               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02027,            0.007014,                   0,             0.74501,             0.91795,             0.76834,             0.40376,            0.037186,            0.016538,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.027996,           0.0073264,                   0,             0.96503,             0.95514,             0.96661,             0.53718,            0.044639,             0.01526,                   0,            0.086498,           0.0014981,           0.0014981
                   2,            0.031469,           0.0069697,                   0,              0.8479,             0.92949,             0.87828,             0.48053,            0.035856,            0.014228,                   0,            0.079294,           0.0022943,           0.0022943
                   3,            0.023389,           0.0072761,                   0,             0.94399,             0.95076,             0.93876,             0.50716,            0.032397,             0.01438,                   0,            0.072088,           0.0030885,           0.0030885
                   4,            0.028297,           0.0066851,                   0,             0.95973,             0.94729,             0.95516,             0.54865,             0.03485,            0.014187,                   0,            0.064881,           0.0038807,           0.0038807
                   5,            0.025782,           0.0066586,                   0,             0.96242,             0.95222,             0.95918,             0.49006,             0.03451,            0.014456,                   0,            0.057671,           0.0046709,           0.0046709
                   6,            0.024487,           0.0073217,                   0,              0.9651,             0.95733,             0.96945,             0.55415,             0.03668,            0.013935,                   0,            0.050459,           0.0054592,           0.0054592
                   7,            0.024953,           0.0068869,                   0,             0.96463,             0.95641,             0.96366,             0.52244,            0.037104,            0.014694,                   0,            0.043245,           0.0062454,           0.0062454
                   8,            0.025554,           0.0074276,                   0,             0.96242,             0.95206,             0.95983,             0.54691,            0.030657,            0.013465,                   0,             0.03603,           0.0070297,           0.0070297
                   9,            0.024942,           0.0076177,                   0,             0.95839,             0.94485,             0.95459,             0.44705,            0.036613,            0.015075,                   0,            0.028812,            0.007812,            0.007812
                  10,            0.023937,            0.008644,                   0,              0.9698,             0.94696,             0.95431,             0.52649,            0.033682,            0.013842,                   0,            0.021592,           0.0085923,           0.0085923
