               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013945,           0.0087211,                   0,             0.95759,             0.95641,             0.96718,             0.52554,            0.042551,            0.010459,                   0,              0.0982,              0.0002,              0.0002
                   1,            0.032547,           0.0097098,                   0,             0.96595,              0.9455,             0.96687,               0.497,            0.038193,            0.010597,                   0,            0.095499,          0.00049938,          0.00049938
                   2,            0.026536,           0.0089771,                   0,             0.95754,             0.95513,             0.96833,             0.51195,            0.042924,            0.010298,                   0,            0.092798,          0.00079802,          0.00079802
                   3,            0.034264,            0.008961,                   0,             0.94118,             0.94872,              0.9621,               0.529,            0.051559,            0.010121,                   0,            0.090096,           0.0010959,           0.0010959
                   4,            0.035069,           0.0096502,                   0,             0.95754,             0.95416,             0.96691,             0.55313,            0.034311,           0.0099972,                   0,            0.087393,           0.0013931,           0.0013931
                   5,            0.033702,           0.0089887,                   0,             0.95894,              0.9581,             0.97063,             0.54696,            0.043788,           0.0099812,                   0,            0.084689,           0.0016895,           0.0016895
                   6,            0.032172,           0.0083777,                   0,             0.95036,                0.95,             0.96141,              0.5083,            0.053928,             0.01023,                   0,            0.081985,           0.0019852,           0.0019852
                   7,            0.039858,           0.0090198,                   0,             0.96243,                0.95,             0.97228,             0.53951,            0.032033,           0.0099103,                   0,             0.07928,           0.0022801,           0.0022801
                   8,            0.030634,           0.0092853,                   0,             0.96341,             0.94359,             0.96731,             0.55173,            0.038569,           0.0097988,                   0,            0.076574,           0.0025743,           0.0025743
                   9,            0.030335,           0.0098159,                   0,             0.95776,             0.95932,             0.97384,             0.53052,            0.034741,           0.0098927,                   0,            0.073868,           0.0028677,           0.0028677
                  10,            0.029853,           0.0094363,                   0,             0.95789,             0.96229,             0.97854,             0.56491,            0.037841,           0.0094886,                   0,             0.07116,           0.0031604,           0.0031604
                  11,            0.029668,           0.0092389,                   0,              0.9588,             0.95897,             0.97314,              0.5306,             0.03884,           0.0099161,                   0,            0.068452,           0.0034524,           0.0034524
                  12,            0.028974,           0.0092429,                   0,             0.96394,                0.95,             0.97407,             0.55073,            0.032606,           0.0096208,                   0,            0.065744,           0.0037436,           0.0037436
                  13,             0.02564,           0.0096934,                   0,             0.96455,             0.95641,             0.97547,             0.53065,            0.038325,           0.0097773,                   0,            0.063034,            0.004034,            0.004034
                  14,            0.032179,            0.010137,                   0,             0.96398,              0.9607,             0.97686,             0.56268,            0.033998,           0.0093495,                   0,            0.060324,           0.0043238,           0.0043238
                  15,            0.027809,           0.0096304,                   0,             0.96268,             0.96026,             0.97811,             0.54952,            0.041286,            0.009534,                   0,            0.057613,           0.0046128,           0.0046128
