               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023839,           0.0096884,                   0,             0.97701,             0.92009,             0.95729,             0.62603,            0.022259,           0.0089793,                   0,           0.0095545,           0.0095545,           0.0095545
                  38,            0.024878,           0.0090176,                   0,             0.97068,             0.92968,              0.9608,             0.64058,            0.021764,           0.0089298,                   0,           0.0095421,           0.0095421,           0.0095421
                  39,             0.02527,           0.0086842,                   0,             0.95428,             0.95032,             0.96183,             0.53206,            0.026512,           0.0098598,                   0,           0.0095298,           0.0095298,           0.0095298
                  40,            0.025831,           0.0090977,                   0,             0.97209,             0.94816,             0.96992,             0.65085,            0.021296,           0.0085627,                   0,           0.0095174,           0.0095174,           0.0095174
                  41,            0.023429,           0.0092996,                   0,             0.97061,             0.93952,              0.9637,             0.62985,            0.022063,           0.0085404,                   0,            0.009505,            0.009505,            0.009505
                  42,            0.025109,           0.0086829,                   0,             0.98404,             0.93213,             0.97206,             0.62702,            0.022753,           0.0087403,                   0,           0.0094926,           0.0094926,           0.0094926
                  43,            0.025703,           0.0089538,                   0,             0.94472,               0.946,             0.95787,              0.6256,            0.022502,           0.0087695,                   0,           0.0094803,           0.0094803,           0.0094803
                  44,            0.026854,           0.0098736,                   0,             0.97632,             0.91793,             0.95908,             0.61919,            0.022291,           0.0087899,                   0,           0.0094679,           0.0094679,           0.0094679
                  45,            0.024877,           0.0092932,                   0,             0.95818,             0.94019,             0.96037,             0.62596,            0.022405,           0.0088815,                   0,           0.0094555,           0.0094555,           0.0094555
                  46,            0.027643,           0.0092263,                   0,               0.965,             0.95274,             0.97083,             0.64042,            0.022682,            0.008936,                   0,           0.0094431,           0.0094431,           0.0094431
                  47,            0.026669,           0.0093262,                   0,             0.95643,             0.95032,             0.96529,             0.64179,            0.021187,           0.0089867,                   0,           0.0094307,           0.0094307,           0.0094307
                  48,            0.026044,           0.0094822,                   0,             0.95183,             0.93891,             0.95585,             0.62073,            0.022004,           0.0094763,                   0,           0.0094184,           0.0094184,           0.0094184
                  49,            0.025334,           0.0093772,                   0,             0.96044,             0.94379,             0.96482,              0.6292,            0.021507,           0.0088916,                   0,            0.009406,            0.009406,            0.009406
                  50,            0.025263,           0.0093304,                   0,             0.94971,             0.94168,             0.95866,             0.62937,            0.020743,           0.0089895,                   0,           0.0093936,           0.0093936,           0.0093936
                  51,            0.025671,           0.0095608,                   0,             0.96019,             0.93765,             0.96322,             0.61863,            0.021747,           0.0089456,                   0,           0.0093813,           0.0093813,           0.0093813
                  52,            0.026391,           0.0096904,                   0,             0.96302,             0.94384,             0.96987,              0.6336,            0.021616,           0.0089388,                   0,           0.0093689,           0.0093689,           0.0093689
                  53,            0.024941,           0.0090266,                   0,             0.96509,             0.95532,             0.97011,             0.63362,            0.021223,           0.0086078,                   0,           0.0093565,           0.0093565,           0.0093565
                  54,            0.024531,           0.0088929,                   0,             0.95888,             0.95687,             0.96755,             0.62963,            0.022589,           0.0088216,                   0,           0.0093441,           0.0093441,           0.0093441
                  55,            0.027649,           0.0091788,                   0,             0.97363,             0.93521,             0.96675,             0.62993,            0.021928,           0.0090357,                   0,           0.0093317,           0.0093317,           0.0093317
                  56,            0.024233,           0.0093206,                   0,              0.9627,               0.946,             0.96559,             0.63205,            0.022595,           0.0088318,                   0,           0.0093194,           0.0093194,           0.0093194
                  57,            0.024498,            0.008589,                   0,             0.96604,             0.93952,             0.96561,             0.64648,            0.021002,           0.0086293,                   0,            0.009307,            0.009307,            0.009307
                  58,            0.022072,           0.0089506,                   0,             0.94772,             0.94384,             0.96577,              0.6337,            0.022354,           0.0088083,                   0,           0.0092946,           0.0092946,           0.0092946
                  59,            0.026584,           0.0094245,                   0,              0.9629,             0.93737,             0.96397,             0.61673,            0.022041,            0.009302,                   0,           0.0092823,           0.0092823,           0.0092823
                  60,            0.026175,           0.0090159,                   0,             0.96591,             0.92225,             0.96529,             0.63163,            0.021306,            0.008989,                   0,           0.0092699,           0.0092699,           0.0092699
                  61,            0.024113,            0.009072,                   0,              0.9764,             0.91793,              0.9568,             0.59208,            0.023063,           0.0091912,                   0,           0.0092575,           0.0092575,           0.0092575
                  62,            0.025879,           0.0093399,                   0,             0.94876,             0.92873,             0.94819,               0.613,             0.02237,           0.0090792,                   0,           0.0092451,           0.0092451,           0.0092451
                  63,            0.024718,           0.0090795,                   0,             0.96418,             0.93018,             0.96316,             0.62807,             0.02252,           0.0094417,                   0,           0.0092327,           0.0092327,           0.0092327
                  64,            0.023872,           0.0087143,                   0,             0.96448,             0.93305,             0.96558,             0.64163,            0.022014,           0.0091218,                   0,           0.0092204,           0.0092204,           0.0092204
                  65,            0.025385,           0.0095603,                   0,             0.95701,             0.94816,             0.95805,             0.62651,            0.023125,           0.0089767,                   0,            0.009208,            0.009208,            0.009208
                  66,            0.025705,           0.0093233,                   0,             0.95626,             0.94437,             0.95544,             0.64095,            0.021788,           0.0088479,                   0,           0.0091956,           0.0091956,           0.0091956
                  67,              0.0243,           0.0082591,                   0,             0.95553,             0.95032,             0.96226,             0.65582,            0.021638,           0.0087439,                   0,           0.0091833,           0.0091833,           0.0091833
                  68,            0.024673,           0.0090884,                   0,             0.95376,             0.93545,             0.96092,             0.65626,             0.02172,           0.0089432,                   0,           0.0091709,           0.0091709,           0.0091709
                  69,            0.023853,            0.008551,                   0,              0.9647,             0.93521,             0.96068,             0.63962,             0.02209,           0.0089126,                   0,           0.0091585,           0.0091585,           0.0091585
                  70,            0.024255,           0.0091968,                   0,             0.96695,             0.94782,             0.97257,             0.64909,             0.02209,            0.008801,                   0,           0.0091461,           0.0091461,           0.0091461
                  71,            0.022887,           0.0091162,                   0,             0.96074,             0.95127,              0.9639,             0.62839,              0.0226,           0.0088462,                   0,           0.0091337,           0.0091337,           0.0091337
                  72,            0.024716,           0.0090339,                   0,             0.96067,             0.94967,             0.96465,             0.63944,            0.022568,           0.0090306,                   0,           0.0091214,           0.0091214,           0.0091214
                  73,            0.025336,           0.0086484,                   0,             0.96882,             0.93949,             0.95844,               0.633,            0.022016,           0.0091977,                   0,            0.009109,            0.009109,            0.009109
                  74,            0.024218,           0.0088341,                   0,             0.96211,             0.93737,             0.96598,             0.63597,            0.022738,           0.0092152,                   0,           0.0090966,           0.0090966,           0.0090966
                  75,             0.02496,           0.0087285,                   0,             0.96644,             0.93293,             0.96029,             0.63703,            0.021991,           0.0090966,                   0,           0.0090843,           0.0090843,           0.0090843
                  76,            0.024661,           0.0084882,                   0,             0.94719,             0.93521,             0.95147,             0.61195,            0.023016,           0.0095954,                   0,           0.0090719,           0.0090719,           0.0090719
                  77,            0.023085,           0.0091362,                   0,             0.96195,             0.94168,             0.96207,             0.64298,            0.021836,           0.0089693,                   0,           0.0090595,           0.0090595,           0.0090595
                  78,            0.024615,           0.0089044,                   0,             0.96479,             0.95032,             0.97101,             0.63309,            0.022521,           0.0090099,                   0,           0.0090471,           0.0090471,           0.0090471
                  79,            0.026072,            0.008681,                   0,             0.95736,             0.95464,             0.97193,             0.64082,            0.022604,           0.0091176,                   0,           0.0090347,           0.0090347,           0.0090347
                  80,            0.022237,           0.0082878,                   0,             0.95071,             0.95825,             0.97088,             0.60106,            0.024901,           0.0092572,                   0,           0.0090224,           0.0090224,           0.0090224
                  81,            0.024896,           0.0088334,                   0,             0.96078,             0.95246,             0.97086,             0.63325,            0.022059,           0.0087241,                   0,             0.00901,             0.00901,             0.00901
                  82,            0.024712,           0.0093957,                   0,             0.95351,             0.96112,              0.9691,             0.64609,            0.021627,           0.0084995,                   0,           0.0089976,           0.0089976,           0.0089976
                  83,            0.022258,           0.0088505,                   0,              0.9609,             0.95554,             0.96499,             0.64123,            0.021608,           0.0087441,                   0,           0.0089853,           0.0089853,           0.0089853
                  84,            0.023238,            0.008346,                   0,             0.96713,             0.95317,             0.96349,             0.63547,             0.02217,           0.0094422,                   0,           0.0089729,           0.0089729,           0.0089729
                  85,            0.023955,           0.0084028,                   0,             0.95725,               0.946,             0.96134,             0.61633,            0.023143,           0.0099358,                   0,           0.0089605,           0.0089605,           0.0089605
                  86,            0.021969,           0.0079656,                   0,             0.96777,             0.92657,             0.95442,             0.62951,            0.022395,           0.0099694,                   0,           0.0089481,           0.0089481,           0.0089481
                  87,            0.023742,           0.0087933,                   0,             0.94419,             0.94816,             0.96416,             0.61702,            0.022653,           0.0093468,                   0,           0.0089358,           0.0089358,           0.0089358
                  88,            0.022296,           0.0091187,                   0,             0.95357,              0.9315,             0.95572,             0.63146,            0.021051,           0.0088771,                   0,           0.0089234,           0.0089234,           0.0089234
                  89,            0.022823,           0.0089694,                   0,             0.94855,             0.93952,             0.96341,             0.62639,            0.022047,           0.0090873,                   0,            0.008911,            0.008911,            0.008911
                  90,            0.024445,           0.0086945,                   0,             0.95924,             0.93952,             0.96515,             0.62318,            0.022534,           0.0090712,                   0,           0.0088986,           0.0088986,           0.0088986
                  91,            0.024961,           0.0086633,                   0,             0.95819,               0.946,             0.96129,             0.61684,            0.022498,           0.0089991,                   0,           0.0088863,           0.0088863,           0.0088863
                  92,             0.02523,           0.0086494,                   0,             0.96443,             0.94168,             0.96852,             0.61499,            0.022271,           0.0089661,                   0,           0.0088739,           0.0088739,           0.0088739
                  93,             0.02252,           0.0090942,                   0,             0.95672,             0.95492,              0.9647,             0.63405,            0.022432,           0.0088963,                   0,           0.0088615,           0.0088615,           0.0088615
                  94,            0.024792,           0.0085707,                   0,             0.98625,             0.92441,             0.96737,              0.6362,            0.022559,           0.0091266,                   0,           0.0088491,           0.0088491,           0.0088491
                  95,            0.023232,           0.0084835,                   0,             0.95625,             0.94415,             0.96904,             0.63306,            0.021933,           0.0089794,                   0,           0.0088368,           0.0088368,           0.0088368
                  96,            0.021536,           0.0086534,                   0,             0.95347,               0.946,             0.97092,             0.62506,            0.022066,            0.009162,                   0,           0.0088244,           0.0088244,           0.0088244
                  97,            0.023423,           0.0081692,                   0,             0.96165,               0.946,             0.96607,             0.63863,            0.022158,           0.0092495,                   0,            0.008812,            0.008812,            0.008812
                  98,            0.025243,           0.0087473,                   0,             0.96191,             0.94384,             0.96965,             0.64712,            0.021206,           0.0091448,                   0,           0.0087996,           0.0087996,           0.0087996
                  99,            0.021484,           0.0085226,                   0,             0.96694,               0.946,             0.96701,             0.64247,            0.022354,           0.0096293,                   0,           0.0087872,           0.0087872,           0.0087872
                 100,            0.024488,           0.0086738,                   0,             0.96643,             0.93258,             0.96153,             0.64128,            0.021489,           0.0093845,                   0,           0.0087749,           0.0087749,           0.0087749
                 101,            0.023771,            0.008616,                   0,             0.96782,             0.94384,             0.97101,             0.64628,            0.021285,           0.0089249,                   0,           0.0087625,           0.0087625,           0.0087625
                 102,            0.022353,           0.0086095,                   0,             0.96275,             0.94895,             0.96556,             0.65513,            0.021319,           0.0090012,                   0,           0.0087501,           0.0087501,           0.0087501
                 103,            0.021459,           0.0082567,                   0,             0.95885,              0.9561,             0.97096,             0.66716,            0.021257,           0.0086711,                   0,           0.0087378,           0.0087378,           0.0087378
                 104,            0.023144,           0.0085456,                   0,             0.95665,             0.95324,             0.96446,             0.66173,            0.021032,           0.0086614,                   0,           0.0087254,           0.0087254,           0.0087254
                 105,            0.021976,            0.008411,                   0,             0.94991,             0.95464,             0.96424,             0.64432,            0.022006,            0.008859,                   0,            0.008713,            0.008713,            0.008713
                 106,            0.023986,           0.0084948,                   0,             0.95592,             0.94168,             0.96222,             0.62831,             0.02167,           0.0090992,                   0,           0.0087006,           0.0087006,           0.0087006
                 107,            0.021144,           0.0084102,                   0,             0.96427,             0.93269,             0.95904,              0.6196,             0.02231,            0.009185,                   0,           0.0086882,           0.0086882,           0.0086882
                 108,            0.023461,           0.0092235,                   0,             0.96221,             0.93478,             0.95608,             0.61156,            0.023186,           0.0092019,                   0,           0.0086759,           0.0086759,           0.0086759
